ZIP CODE,Driver Inattention,Failure to Yield,Following Too Closely,Improper Lane Usage,Unsafe Lane Change,Unsafe Speed
11379.0,4582.0,3697.0,3171.0,1115.0,292.0,678.0
11385.0,15210.0,13321.0,8638.0,4376.0,1164.0,2903.0
11411.0,4420.0,3208.0,989.0,675.0,214.0,1032.0
11412.0,11225.0,4545.0,1648.0,1346.0,171.0,2720.0
11413.0,13678.0,5316.0,3571.0,2007.0,1440.0,2812.0
11414.0,6707.0,3155.0,3159.0,1407.0,865.0,969.0
11415.0,6930.0,1260.0,753.0,746.0,389.0,341.0
11416.0,9771.0,2900.0,1598.0,792.0,359.0,939.0
11417.0,12207.0,4486.0,4305.0,2751.0,1568.0,2060.0
11418.0,15222.0,2981.0,2675.0,2030.0,683.0,1001.0
11419.0,17350.0,5015.0,2376.0,2609.0,411.0,2361.0
11420.0,18950.0,9916.0,5836.0,4671.0,2821.0,3171.0
11421.0,12202.0,2318.0,2580.0,1085.0,349.0,890.0
11422.0,10444.0,5049.0,4490.0,1413.0,801.0,1679.0
11423.0,9306.0,3414.0,1948.0,1779.0,632.0,1876.0
11426.0,3404.0,1309.0,716.0,389.0,264.0,747.0
11427.0,4231.0,1890.0,1164.0,521.0,385.0,679.0
11428.0,3405.0,2164.0,731.0,340.0,397.0,608.0
11429.0,4982.0,3570.0,972.0,760.0,364.0,1236.0
11430.0,680.0,114.0,382.0,208.0,154.0,103.0
11432.0,22113.0,5211.0,4314.0,3285.0,1494.0,1620.0
11433.0,13153.0,4098.0,2728.0,2684.0,885.0,2578.0
11434.0,29660.0,7103.0,6488.0,3497.0,2395.0,3565.0
11435.0,18091.0,6081.0,3266.0,3259.0,1019.0,2210.0
11436.0,7611.0,2067.0,965.0,734.0,272.0,1593.0
11691.0,15023.0,3039.0,2758.0,1735.0,506.0,1322.0
11692.0,3448.0,758.0,962.0,380.0,56.0,397.0
11693.0,4041.0,548.0,1425.0,235.0,184.0,288.0
11694.0,4584.0,961.0,1009.0,259.0,135.0,191.0
11695.0,14.0,,8.0,,,
11697.0,352.0,39.0,21.0,,16.0,51.0
     ,15.0,,,,,
10000.0,12.0,9.0,25.0,26.0,20.0,8.0
10001,22.0,10.0,,,,1.0
10001.0,765.0,188.0,338.0,347.0,362.0,32.0
10002,99.0,29.0,,,,
10002.0,806.0,147.0,263.0,174.0,67.0,68.0
10003,24.0,8.0,,,,1.0
10003.0,650.0,97.0,159.0,89.0,60.0,11.0
10004,8.0,,,,,
10004.0,88.0,20.0,21.0,57.0,15.0,
10005,4.0,2.0,,,,
10005.0,19.0,6.0,16.0,9.0,,16.0
10006,3.0,1.0,,,,
10006.0,39.0,35.0,43.0,8.0,38.0,4.0
10007,14.0,10.0,,,,
10007.0,268.0,21.0,109.0,33.0,30.0,4.0
10009,19.0,13.0,,,,
10009.0,383.0,27.0,68.0,69.0,39.0,12.0
10010,48.0,26.0,,,,1.0
10010.0,651.0,36.0,178.0,40.0,32.0,8.0
10011,22.0,12.0,,,,
10011.0,330.0,172.0,289.0,163.0,188.0,54.0
10012,52.0,15.0,,,,
10012.0,554.0,53.0,91.0,89.0,49.0,20.0
10013,47.0,17.0,,,,
10013.0,873.0,120.0,190.0,219.0,240.0,22.0
10014,14.0,14.0,,,,
10014.0,246.0,89.0,132.0,95.0,78.0,4.0
10016,38.0,19.0,,,,2.0
10016.0,1251.0,105.0,191.0,169.0,140.0,26.0
10017,38.0,4.0,,,,1.0
10017.0,724.0,130.0,121.0,100.0,81.0,12.0
10018,20.0,12.0,,,,
10018.0,492.0,127.0,160.0,193.0,263.0,12.0
10019,59.0,13.0,,,,
10019.0,1105.0,119.0,274.0,169.0,169.0,25.0
10020,1.0,,,,,
10020.0,55.0,,16.0,,,
10021,20.0,10.0,,,,
10021.0,329.0,58.0,72.0,49.0,48.0,22.0
10022,43.0,13.0,1.0,,,
10022.0,1051.0,103.0,293.0,98.0,287.0,20.0
10023,15.0,4.0,1.0,1.0,,
10023.0,348.0,41.0,135.0,88.0,50.0,42.0
10024,15.0,13.0,,,,1.0
10024.0,287.0,66.0,73.0,55.0,55.0,4.0
10025,38.0,35.0,1.0,,1.0,
10025.0,295.0,54.0,76.0,49.0,80.0,
10026,46.0,4.0,,,,
10026.0,234.0,54.0,27.0,13.0,7.0,20.0
10027,54.0,43.0,,2.0,,
10027.0,405.0,117.0,133.0,53.0,57.0,17.0
10028,7.0,10.0,,,,
10028.0,176.0,18.0,26.0,15.0,44.0,5.0
10029,34.0,24.0,,,,
10029.0,453.0,29.0,93.0,71.0,140.0,
10030,7.0,3.0,,,,
10030.0,146.0,44.0,38.0,21.0,18.0,22.0
10031,7.0,12.0,1.0,,,
10031.0,172.0,52.0,68.0,22.0,4.0,4.0
10032,15.0,13.0,,,,
10032.0,335.0,101.0,49.0,48.0,38.0,29.0
10033,30.0,25.0,,,,2.0
10033.0,342.0,73.0,99.0,35.0,44.0,19.0
10034,24.0,8.0,,,,2.0
10034.0,368.0,56.0,33.0,63.0,19.0,29.0
10035,15.0,3.0,,,,
